Start log
seed_lnd_drone.command, (land,true,0), WINNER(land,0)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0), NO-WINNER
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
seed_lnd_drone.command, (land,true,0), (takeoff,false,0), (goto(exp1),true,0.2), (follow(target),false,0), (flyto(home),false,0), WINNER(goto(exp1),0.2)
